cluster_id,word,frequency,rank_in_cluster,category
0,think,1038,1,Media Delegitimization
0,work,893,2,Media Delegitimization
0,always,736,3,Media Delegitimization
0,keep,678,4,Media Delegitimization
0,business,553,5,Media Delegitimization
0,every,501,6,Media Delegitimization
0,success,403,7,Media Delegitimization
0,life,370,8,Media Delegitimization
0,important,365,9,Media Delegitimization
0,find,247,10,Media Delegitimization
0,future,246,11,Media Delegitimization
0,entrepreneurs,245,12,Media Delegitimization
0,successful,241,13,Media Delegitimization
0,power,214,14,Media Delegitimization
0,focus,204,15,Media Delegitimization
0,part,194,16,Media Delegitimization
0,makes,186,17,Media Delegitimization
0,champion,185,18,Media Delegitimization
0,problems,175,19,Media Delegitimization
0,thinking,148,20,Media Delegitimization
1,china,1017,1,External Threats / Immigration
1,deal,872,2,External Threats / Immigration
1,jobs,871,3,External Threats / Immigration
1,money,670,4,External Threats / Immigration
1,usa,606,5,External Threats / Immigration
1,trade,505,6,External Threats / Immigration
1,cont,446,7,External Threats / Immigration
1,dollars,365,8,External Threats / Immigration
1,massive,355,9,External Threats / Immigration
1,mexico,341,10,External Threats / Immigration
1,countries,334,11,External Threats / Immigration
1,pay,301,12,External Threats / Immigration
1,energy,292,13,External Threats / Immigration
1,millions,250,14,External Threats / Immigration
1,billion,239,15,External Threats / Immigration
1,continue,236,16,External Threats / Immigration
1,oil,213,17,External Threats / Immigration
1,build,205,18,External Threats / Immigration
1,small,201,19,External Threats / Immigration
1,companies,199,20,External Threats / Immigration
2,must,1121,1,Economic Populism
2,border,845,2,Economic Populism
2,military,648,3,Economic Populism
2,stop,541,4,Economic Populism
2,help,518,5,Economic Populism
2,wall,503,6,Economic Populism
2,crime,499,7,Economic Populism
2,security,464,8,Economic Populism
2,congress,426,9,Economic Populism
2,law,417,10,Economic Populism
2,bill,394,11,Economic Populism
2,government,377,12,Economic Populism
2,illegal,364,13,Economic Populism
2,order,363,14,Economic Populism
2,end,358,15,Economic Populism
2,open,351,16,Economic Populism
2,fast,331,17,Economic Populism
2,immigration,319,18,Economic Populism
2,federal,284,19,Economic Populism
2,care,273,20,Economic Populism
3,great,7084,1,Conspiracy Narratives
3,job,1159,2,Conspiracy Narratives
3,state,818,3,Conspiracy Narratives
3,total,791,4,Conspiracy Narratives
3,strong,652,5,Conspiracy Narratives
3,congratulations,551,6,Conspiracy Narratives
3,support,518,7,Conspiracy Narratives
3,endorsement,432,8,Conspiracy Narratives
3,complete,405,9,Conspiracy Narratives
3,fantastic,400,10,Conspiracy Narratives
3,guy,388,11,Conspiracy Narratives
3,john,375,12,Conspiracy Narratives
3,governor,371,13,Conspiracy Narratives
3,running,362,14,Conspiracy Narratives
3,tough,348,15,Conspiracy Narratives
3,second,328,16,Conspiracy Narratives
3,incredible,322,17,Conspiracy Narratives
